2026-03-23 11:28:04,815 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:28:04,816 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:28:05,118 | INFO | main | dolphin-asr service started.
2026-03-23 11:28:27,236 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:28:27,236 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:28:27,238 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:28:27,574 | INFO | main | dolphin-asr service started.
2026-03-23 11:34:21,374 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:34:21,446 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:34:23,839 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:34:23,839 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:34:23,842 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:34:23,851 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:34:23,852 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:34:23,853 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:34:24,261 | INFO | main | dolphin-asr service started.
2026-03-23 11:34:24,272 | INFO | main | dolphin-asr service started.
2026-03-23 11:36:14,172 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:36:18,020 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:36:18,021 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:36:18,023 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:36:18,328 | INFO | main | dolphin-asr service started.
2026-03-23 11:36:44,555 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:36:44,572 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:36:46,256 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:36:46,257 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:36:46,258 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:36:46,276 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:36:46,277 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:36:46,277 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:36:46,661 | INFO | main | dolphin-asr service started.
2026-03-23 11:36:46,682 | INFO | main | dolphin-asr service started.
2026-03-23 11:37:34,312 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:37:34,313 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:37:36,288 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:37:36,288 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:37:36,289 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:37:36,293 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:37:36,293 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:37:36,294 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:37:36,690 | INFO | main | dolphin-asr service started.
2026-03-23 11:37:36,691 | INFO | main | dolphin-asr service started.
2026-03-23 11:38:19,653 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:38:19,723 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:38:21,476 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:38:21,476 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:38:21,477 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:38:21,556 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:38:21,556 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:38:21,557 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:38:21,870 | INFO | main | dolphin-asr service started.
2026-03-23 11:38:21,941 | INFO | main | dolphin-asr service started.
2026-03-23 11:38:33,345 | INFO | main | Test intent 查询余额
2026-03-23 11:38:33,345 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:38:33,439 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 500 Internal Server Error"
2026-03-23 11:38:33,450 | WARNING | main | intent test http error: call_id=123 status=500
2026-03-23 11:47:19,299 | INFO | main | Test intent 查询余额
2026-03-23 11:47:19,299 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:47:19,331 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 200 OK"
2026-03-23 11:47:19,332 | INFO | main | intent test output: call_id=123 intent_id=1
2026-03-23 11:48:31,768 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:48:35,516 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:48:35,516 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:48:35,516 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:48:35,831 | INFO | main | dolphin-asr service started.
2026-03-23 11:48:37,880 | INFO | main | Test intent 查询余额
2026-03-23 11:48:37,880 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:48:37,899 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 200 OK"
2026-03-23 11:48:37,900 | INFO | main | intent test output: call_id=123 intent_id=1
2026-03-23 11:50:59,034 | INFO | main | Test intent 查询余额
2026-03-23 11:50:59,034 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:50:59,043 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 422 Unprocessable Entity"
2026-03-23 11:50:59,046 | WARNING | main | intent test http error: call_id=123 status=422
2026-03-23 11:55:37,322 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:55:39,367 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:55:39,367 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:55:39,368 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:55:39,679 | INFO | main | dolphin-asr service started.
2026-03-23 11:55:44,551 | INFO | main | Test intent 查询余额
2026-03-23 11:55:44,551 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:55:46,606 | WARNING | main | intent test request error: call_id=123 err=All connection attempts failed
2026-03-23 11:55:51,126 | INFO | main | Test intent 查询余额
2026-03-23 11:55:51,127 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:55:53,141 | WARNING | main | intent test request error: call_id=123 err=All connection attempts failed
2026-03-23 11:56:32,341 | INFO | main | Test intent 查询余额
2026-03-23 11:56:32,341 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:56:32,364 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 200 OK"
2026-03-23 11:56:32,367 | INFO | main | intent test output: call_id=None intent_id=1
2026-03-23 11:57:06,476 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:57:09,958 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:57:09,958 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:57:09,959 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:57:10,265 | INFO | main | dolphin-asr service started.
2026-03-23 11:57:13,298 | INFO | main | Test intent 查询余额
2026-03-23 11:57:13,299 | INFO | main | intent test input: call_id=123 text='查询余额'
2026-03-23 11:57:13,317 | INFO | httpx | HTTP Request: POST http://127.0.0.1:8808/api/v1/recognize "HTTP/1.1 200 OK"
2026-03-23 11:57:13,318 | INFO | main | intent test output: call_id=None intent_id=1
2026-03-23 11:57:27,145 | INFO | main | dolphin-asr service stopped.
